CPF,NOME,ENDERECO,COMPLEMENTO,BAIRRO,CIDADE,ESTADO,CEP,DATA DE NASCIMENTO,IDADE,SEXO,LIMITE DE CREDITO,VOLUME DE COMPRA,PRIMEIRA COMPRA
672.451.083-07,Felipe Casa Grande,"Feira Clarice Azevedo, 81",4,Vila Santa Monica 1ª Seção,Jesus,CE,51096879,1956-01-20,18,F,4707.05,2825.17,True
983.026.145-05,Yago da Paz,Residencial Fonseca,47,Esperança,Cardoso da Praia,CE,09707-006,1944-12-20,66,F,4988.28,2578.47,True
129.758.436-82,João Gabriel Novaes,Viaduto de Siqueira,96,Túnel De Ibirité,Brito,CE,90654-532,1997-12-09,20,F,4427.26,8945.45,False
358.176.420-26,Srta. Isabella da Costa,"Alameda Gustavo Peixoto, 6",53,Piraja,Alves do Campo,CE,01957-849,1997-08-29,19,F,2709.96,6653.09,True
485.063.971-20,Sra. Maria Vitória Lima,"Distrito Vitória Novaes, 18",983,São Luiz,Camargo de Mendes,CE,20328557,1963-07-24,65,M,4440.88,6400.25,True
368.271.409-03,Sra. Vitória Garcia,"Colônia da Conceição, 4",8,São Sebastião,Freitas,CE,19166551,1940-07-27,41,M,3223.88,1805.44,False
293.760.185-59,Srta. Lunna Ribeiro,"Lago Farias, 455",58,Novo São Lucas,Ferreira,CE,67538607,1935-10-15,56,F,895.86,1942.59,False
348.910.657-10,Gabrielly Nascimento,"Área Olivia da Costa, 683",394,Vila Canto Do Sabiá,Jesus do Amparo,CE,63002196,1957-01-22,74,F,2133.84,7203.83,True
489.056.237-00,Dr. Miguel Castro,"Pátio de Pires, 71",73,Eymard,da Conceição,CE,29871-806,1940-08-21,47,F,4866.91,8258.18,True
509.637.128-02,Ana Liz das Neves,"Praça Araújo, 78",9,Bairro Das Indústrias Ii,Caldeira das Flores,CE,43614239,2006-03-27,35,F,2682.77,2275.49,True
729.451.036-99,Zoe Pires,"Núcleo de Camargo, 98",840,Nossa Senhora De Fátima,Souza Verde,CE,86618-012,1953-04-19,90,M,3300.77,7232.75,False
319.274.658-00,Raul Melo,"Residencial Ana Sophia das Neves, 40",16,São Lucas,Moraes Verde,CE,05669-971,1980-01-17,25,M,1032.51,2716.78,True
418.023.769-50,Isabel Ribeiro,"Sítio Arthur Miguel Guerra, 6",932,Castelo,Macedo do Galho,CE,86136852,1936-03-16,71,F,3855.71,370.01,True
395.128.067-03,Apollo Casa Grande,"Setor Santos, 62",327,Vila Nova Gameleira 1ª Seção,Vargas,CE,82666515,1955-01-26,74,F,689.23,9356.1,True
947.286.510-02,Davi Lucca Farias,"Largo de Aparecida, 512",10,Vila São Paulo,Machado,CE,50396162,1957-09-20,61,M,2486.57,5833.01,True
548.369.107-57,Josué Alves,"Praia de Leão, 4",154,Vila Nova Cachoeirinha 2ª Seção,Ribeiro,CE,04680-761,1994-05-22,70,F,765.99,4609.36,True
056.948.213-51,Diogo Leão,"Residencial Lopes, 18",60,Flamengo,Gonçalves Alegre,CE,92826-965,1963-07-16,53,M,2680.42,4641.74,True
870.615.942-76,Ana Júlia Cassiano,"Morro Thomas Siqueira, 97",271,Antonio Ribeiro De Abreu 1ª Seção,Teixeira da Prata,CE,03465981,1955-08-24,70,M,4198.25,5438.37,False
857.346.109-84,Maria Luiza Vargas,"Parque Anna Liz Dias, 63",24,Vila Inestan,Pereira,CE,46770464,1959-04-12,82,F,1502.2,7710.96,False
931.570.648-00,Maitê Novais,"Alameda de Pinto, 256",878,Lagoinha Leblon,Fernandes,CE,05167-870,1993-04-10,44,F,4240.29,5938.74,False
172.598.043-60,Dr. Kaique da Luz,"Avenida João Guilherme da Conceição, 2",39,Lagoa,da Rosa da Serra,CE,18109-793,1958-05-17,82,F,662.49,2686.52,False
587.291.403-23,Isaque da Conceição,"Ladeira Allana Dias, 381",487,Dom Silverio,Porto do Sul,CE,49032706,1979-03-26,88,M,2725.7,7097.56,True
947.856.302-56,Luna Souza,"Alameda Macedo, 31",45,São Sebastião,Martins do Galho,CE,57279640,1954-12-11,19,F,1034.4,2572.06,False
906.532.714-25,Sophia Ferreira,Travessa Gabriela Vieira,89,Minas Caixa,Almeida do Campo,CE,05736326,1948-01-03,41,M,611.03,7716.09,False
854.063.219-51,Davi Lucas Montenegro,Loteamento de Araújo,74,Indaiá,Pinto,CE,58966375,1979-01-12,84,M,3087.02,6991.49,False
369.285.401-33,Olivia Porto,"Distrito Otávio Costa, 9",7,Aeroporto,Aparecida,CE,30857508,2003-04-21,51,M,1209.06,8889.65,False
038.941.625-89,Dr. Yago da Rocha,Vila Macedo,78,Virgínia,Pimenta,CE,47621727,1976-12-06,18,M,3928.95,7745.96,True
310.678.594-20,Enzo Gabriel Siqueira,"Fazenda de Freitas, 21",36,Vila Nova Cachoeirinha 2ª Seção,Peixoto do Norte,CE,77535-436,1957-04-23,85,M,1980.41,427.1,True
069.278.531-03,Rafael Oliveira,Sítio Câmara,62,Vila Vista Alegre,Sales,CE,94726-585,1989-12-20,76,M,4575.78,1661.49,True
102.935.687-40,Sra. Ana Júlia Farias,"Quadra Fonseca, 28",404,Castanheira,Correia,CE,83986-904,1996-10-06,57,M,707.76,569.72,False
718.204.365-35,Emanuelly da Conceição,"Parque Apollo Andrade, 88",67,Frei Leopoldo,Ferreira do Sul,CE,40701493,1941-11-28,31,M,4943.61,5635.29,True
836.905.714-48,Marcela Ramos,"Trevo de Gonçalves, 64",85,Sagrada Família,Azevedo de Moreira,CE,31446-513,1974-12-15,77,M,4978.7,6446.52,True
341.657.208-44,Calebe Farias,Passarela de Borges,55,Tres Marias,Viana de Rezende,CE,09679-361,2006-02-13,31,M,1839.27,965.15,False
127.583.690-95,Rebeca Pimenta,Residencial Nina das Neves,787,Penha,Vieira do Amparo,CE,66236-265,1949-05-14,32,F,3044.55,3503.22,False
075.613.948-10,Luiz Miguel Costa,Esplanada Cirino,160,Ouro Minas,Azevedo do Sul,CE,46135-126,1971-03-31,30,M,4170.84,7402.9,True
567.024.891-02,Nicolas Borges,"Chácara Barros, 13",95,Vila Suzana Segunda Seção,Souza do Sul,CE,07852751,1989-09-01,38,F,2764.84,8869.89,True
172.453.069-07,Joaquim Cavalcanti,Feira de Castro,13,Parque São Pedro,Pacheco de Minas,CE,20448-449,1947-11-28,65,M,2851.52,3401.39,True
015.427.369-43,Ravy Brito,"Estação de Brito, 81",18,Santana Do Cafezal,Silva,CE,03730-064,1986-02-06,53,F,1775.91,4882.07,True
265.140.793-34,Esther Pires,"Conjunto Pereira, 56",64,Milionario,da Rosa do Sul,CE,69736544,1982-04-19,38,M,4863.09,3902.9,False
072.631.594-06,Dra. Maria Clara Barros,"Área Melina Mendonça, 6",89,Cidade Nova,Sá do Sul,CE,64681342,1989-04-28,56,F,4388.44,3163.49,False
849.156.237-00,Davi Luiz Sá,"Lagoa de Fonseca, 89",67,Jaraguá,Costa,CE,60060-424,1980-06-11,73,M,2123.77,7556.07,False
578.260.391-77,Lunna Ferreira,"Alameda de Lima, 25",87,Corumbiara,Teixeira,CE,57255049,1968-04-10,18,M,2153.86,9594.16,False
327.618.509-12,Isaque Viana,"Distrito Cardoso, 44",93,Jaraguá,Montenegro,CE,28340061,1936-12-01,39,F,4372.7,980.32,True
521.073.648-26,Brayan Macedo,"Área de Barros, 98",8,Vila Boa Vista,Caldeira do Norte,CE,44973243,1966-04-07,42,F,931.34,3641.98,True
608.324.579-65,Kaique Garcia,"Condomínio Bryan Rios, 4",23,Urca,da Mata da Praia,CE,21852611,1976-07-23,53,M,4153.78,1769.1,True
751.486.029-02,Alexandre Gomes,"Residencial de Castro, 933",41,Alto Vera Cruz,da Cunha da Mata,CE,18177-745,1958-07-03,84,F,4161.91,9317.33,False
592.301.648-60,Mariana Mendes,"Morro Raquel Albuquerque, 70",18,Vila Maloca,Ramos de Duarte,CE,89932318,2005-10-14,63,M,2152.43,5499.34,False
018.354.796-93,Kaique Costa,"Quadra Eloah da Cruz, 9",789,Santa Rita De Cássia,Santos,CE,25706666,1958-02-05,67,M,954.27,3159.04,False
918.037.642-87,Dante Albuquerque,"Recanto Pimenta, 273",45,Vila Pilar,Câmara Alegre,CE,39966230,1984-08-21,53,M,1180.51,2971.03,False
190.827.645-20,Maria Isis Azevedo,Largo Esther Pires,657,Nova Pampulha,Cavalcante de Goiás,CE,44218253,1951-11-29,84,F,1360.5,890.83,False
123.796.850-02,Sr. Matheus Almeida,Aeroporto de Teixeira,270,Conjunto Lagoa,Pastor,CE,26143279,2004-03-23,49,F,1777.41,3315.48,True
480.769.251-85,Davi Lucas da Conceição,"Estrada Sophia Lopes, 81",35,São Vicente,Oliveira,CE,64789821,1990-11-16,53,F,4430.85,3036.59,True
329.460.581-15,Luiza Rodrigues,"Travessa Vitor da Conceição, 206",6,Urca,Costela,CE,01424-779,1966-05-08,52,M,1434.65,921.71,True
479.150.823-88,Isabella Souza,"Lago das Neves, 88",552,Túnel De Ibirité,Silveira Verde,CE,93834-702,1973-12-22,37,M,4178.75,9906.57,True
286.490.317-22,Gustavo Duarte,"Praia Lopes, 245",87,Califórnia,Silva de Goiás,CE,51126-613,1996-07-06,71,F,2053.94,5204.32,True
865.720.431-26,Sophia Gonçalves,"Lagoa de Pires, 53",96,São Francisco Das Chagas,Lima,CE,36464-661,1995-05-05,52,M,1325.71,430.17,True
802.169.347-96,Dr. Isaque Barros,"Alameda Mendes, 99",37,Vila Barragem Santa Lúcia,Lima da Mata,CE,36668-807,1959-07-24,26,F,2719.0,307.41,False
504.782.619-85,Heloisa Caldeira,"Viela Peixoto, 4",50,Vila Copacabana,da Conceição dos Dourados,CE,40086686,1965-10-29,85,M,2562.72,7493.76,True
301.864.257-08,Anna Liz Fernandes,"Jardim Pedro Henrique Ramos, 84",655,Camponesa 2ª Seção,Vieira de Borges,CE,57956394,1991-10-22,58,M,2532.7,8642.64,True
923.684.705-65,Dr. Mathias das Neves,"Condomínio Enrico da Cruz, 97",29,Vila Oeste,Macedo da Serra,CE,04943114,1973-09-25,65,F,958.71,2159.25,False
629.485.701-58,Sofia Viana,"Condomínio Ravi Lucca Novais, 35",16,Itatiaia,Oliveira,CE,08755-298,1977-06-24,22,M,628.42,7628.01,False
405.937.286-29,Sarah Leão,"Trevo Bárbara Lopes, 18",71,Virgínia,Montenegro do Campo,CE,44161075,1986-05-19,45,F,4326.66,6206.99,True
708.164.532-17,Danilo Novaes,Esplanada de Lima,38,Vila Santa Rosa,Cirino de da Luz,CE,60887411,1991-05-24,59,F,2236.1,3692.36,True
